DATE,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,PRICE_USD,Perth Mint Spot,PRICE_AUD,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Lease Rates,,,,
21/06/91,374.5,375.5,489.29,491.04,52059.25,52295.89,374,375,487.74,489.49,51735.42,51960,374.17,375.17,488.64,490.39,51963.67,52198.21,1.09,,,,
22/06/91,375.25,376.25,490.84,492.47,52227.3,52449.25,375.25,376.25,490.2,491.83,52156,52381.53,375.25,376.25,490.52,492.15,52191.02,52415.39,1.1,,,,
23/06/91,,,,,,,,,,,,,,,,,,,1.1,,,,
24/06/91,375.25,376.25,490.84,493.31,52227.3,52539.55,374,375,489.91,491.67,52128.12,52365,374.56,375.56,490.44,492.35,52184.02,52436.04,0.86,,,,
25/06/91,374,375,488.57,490.32,51982.26,52218.75,372.75,374.75,486.81,489.88,51797.34,52170,373.5,374.9,487.78,490.08,51899.3,52192.82,0.86,,,,
26/06/91,375,376,488.85,490.61,51825,52248.96,372,373,485.01,486.75,51414.12,51839.54,374.08,375.25,487.49,489.46,51678.36,52127.21,0.86,,,,
27/06/91,375,377,488.73,490.82,51765,51995.84,374.5,375.5,487.77,489.89,51663.75,51897.86,374.88,376.13,488.34,490.43,51724.31,51955.03,1.11,,,,
28/06/91,375.75,376.75,488.88,490.62,51740.78,51938.76,374,375,486.41,488.09,51481.1,51667.5,374.75,375.92,487.53,489.47,51599.34,51815.13,1.11,,,,
29/06/91,379,380,494.46,496.21,52411.91,52649,379,380,493.94,495.7,52279.26,52474.2,379,380,494.2,495.96,52345.59,52561.6,1.11,,,,
30/06/91,,,,,,,,,,,,,,,,,,,1.11,,,,
1/07/91,379.75,381.25,495.37,497.78,52508.03,52814.56,379.75,381.25,494.47,496.74,52413.1,52704,379.75,381.25,494.96,497.3,52464.74,52763.47,1.14,,,,
2/07/91,382.5,383.5,499.54,501.31,52915.05,53153.1,382.5,383.5,498.83,500.59,52842.38,53076.4,382.5,383.5,499.19,500.95,52878.72,53114.75,1.16,,,,
3/07/91,380,380.5,497.38,498.49,52778.2,52946.58,380,380.5,497.38,498.49,52778.2,52946.58,380,380.5,497.38,498.49,52778.2,52946.58,1.16,,,,
4/07/91,378.5,379.5,495.61,497.38,52766.69,53004.77,378.5,379.5,495.61,497.38,52766.69,53004.77,378.5,379.5,495.61,497.38,52766.69,53004.77,1.15,,,,
5/07/91,378.5,379.5,495.94,497.7,52649.35,52917.48,378.5,379.5,495.55,497.18,52607.72,52860.56,378.5,379.5,495.75,497.44,52628.54,52889.02,1.15,,,,
6/07/91,381.25,382.25,497.85,499.48,52852.69,53105.99,381.25,382.25,497.85,499.48,52852.69,53105.99,381.25,382.25,497.85,499.48,52852.69,53105.99,1.15,,,,
7/07/91,,,,,,,,,,,,,,,,,,,1.15,,,,
8/07/91,383.25,384.25,500.07,501.83,52957.49,53245.52,378.5,379.5,493.87,495.62,52301.13,52587.32,381.58,382.58,497.89,499.65,52727.19,53014.57,1.2,,,,
9/07/91,385.5,386.5,503.07,504.7,53418.74,53684.85,382.25,383.25,499.09,500.85,52998.96,53275.58,383.88,384.88,501.08,502.78,53208.85,53480.22,1.19,,,,
10/07/91,383,384,499.87,501.63,53041.67,53318.4,381.5,383,497.39,499.8,52776.71,53125.93,382.05,383.25,498.53,500.52,52897.89,53200.48,1.19,,,,
11/07/91,379,380,493.49,495.24,52476.34,52751.6,377,379,491.27,494.33,52240.89,52654.47,378,379.5,492.38,494.79,52358.62,52703.04,0.93,,,,
12/07/91,374.5,375.5,488.27,490.02,51916.94,52190.75,374.5,375.5,488.27,490.02,51916.94,52190.75,374.5,375.5,488.27,490.02,51916.94,52190.75,0.93,,,,
13/07/91,377,378,488.03,489.95,51890.28,52186.68,377,378,488.03,489.95,51890.28,52186.68,377,378,488.03,489.95,51890.28,52186.68,0.93,,,,
14/07/91,,,,,,,,,,,,,,,,,,,1.19,,,,
15/07/91,378.75,379.75,489.78,491.52,51676.65,51942.21,377,378,488.28,490.02,51517.05,51786,377.88,378.88,489.03,490.77,51596.85,51864.11,1.06,,,,
16/07/91,378,379,488.18,489.92,51778.44,52032.91,378,379,488.18,489.92,51778.44,52032.91,378,379,488.18,489.92,51778.44,52032.91,1.08,,,,
17/07/91,379,380.5,488.78,491.16,51934.37,52257.87,378.5,379.5,488.26,489.99,51877.21,52135.71,378.75,380,488.52,490.58,51905.79,52196.79,1.08,,,,
18/07/91,380.5,382.5,491.6,494.31,52075.24,52433.1,380,381,489.94,491.55,51900.4,52139.85,380.19,381.81,490.82,493.27,51992.56,52321.69,1.08,,,,
19/07/91,379,380.5,490.87,492.68,51979.85,52238.85,379,380,490.3,492.48,51919.21,52219.6,379,380.25,490.59,492.58,51949.53,52229.23,1.08,,,,
20/07/91,378,379,485.67,487.27,51623.46,51888.89,378,379,485.55,487.15,51415.56,51653.91,378,379,485.61,487.21,51519.51,51771.4,1.08,,,,
21/07/91,,,,,,,,,,,,,,,,,,,1.19,,,,
22/07/91,378,379,485.67,487.27,51623.46,51888.89,378,379,485.67,487.27,51623.46,51888.89,378,379,485.67,487.27,51623.46,51888.89,1.17,,,,
23/07/91,377.5,378,487.73,488.81,52068.58,52235.82,377.5,378,486.03,487.11,51887.38,52054.38,377.5,378,486.94,488.09,51984.59,52157.39,1.17,,,,
24/07/91,377,378,485.7,487.43,51694.24,51975,377,378,485.7,487.43,51694.24,51975,377,378,485.7,487.43,51694.24,51975,0.96,,,,
25/07/91,369.25,370.25,476.76,478.36,50878.96,51146.34,365,366,470.06,471.65,50165.6,50427.48,367.42,368.42,473.93,475.53,50576.93,50843.52,0.96,,,,
26/07/91,366,368,474.77,477.67,50669.04,51074.72,365,366,472.75,475.64,50453.1,50853.92,365.8,367.6,473.86,476.55,50571.05,50952.89,1.19,,,,
27/07/91,365,366,469.76,471.65,50132.75,50427.48,365,366,469.76,471.65,50132.75,50427.48,365,366,469.76,471.65,50132.75,50427.48,1.19,,,,
28/07/91,,,,,,,,,,,,,,,,,,,1.04,,,,
29/07/91,365,366,470.04,471.63,50485.05,50751.47,363,365,467.72,470.6,50239.2,50640.1,363.94,365.44,468.86,471.12,50359.79,50697.11,0.9,,,,
30/07/91,364.5,365.5,468.99,470.7,50373.9,50650.99,358.75,359.75,462.07,463.66,49629.48,49893.73,361.25,362.25,464.88,466.49,49932.64,50199.11,0.9,,,,
31/07/91,359.5,360.5,462.26,463.84,49650.55,49914.83,358.5,359.5,460.5,462.2,49462.25,49736.83,359,360,461.38,463.02,49556.4,49825.83,0.9,,,,
