DATE,Perth Mint Spot,Perth Mint Spot,PRICE,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Lease Rates
04/01/16,878.34,907.34,1211.63,1249.44,105664.3,109261.88,865.5,886.5,1198.92,1228.86,103003.16,105599.88,872.36,897.59,1205.48,1241.1,104383.31,107554.56,
05/01/16,880.9,904.5,1222.79,1255.55,105108.99,108313.88,871.24,897.75,1212.92,1250.7,103834.38,107200.33,876.94,901.66,1217.96,1253,104656.42,107777.07,
06/01/16,882.1,903,1238.23,1266.47,104952.26,107637.6,870.99,893.65,1221.58,1255.13,103212.32,106051.92,876.33,897.33,1230.82,1260.89,103917.74,106524.69,
07/01/16,872.85,896.15,1239.35,1273.3,103481.63,105886.37,853.24,878.9,1209.24,1247.34,100690.85,103420.16,867.03,888.74,1229.89,1261.38,102347.89,105022.28,
08/01/16,868.8,893.05,1236.79,1272.3,102805.1,105674.61,862.5,883.5,1223.17,1255,101300.63,104120.48,865.82,888.06,1229.75,1261.97,102185.8,104899.36,
09/01/16,,,,,,,,,,,,,,,,,,,
10/01/16,,,,,,,,,,,,,,,,,,,
11/01/16,871.3,892.01,1255.29,1286.06,101782.34,104586.27,856.13,881.9,1230.43,1263.65,100252.82,103464.51,862.49,886.3,1237.43,1272.28,101129.35,104019.82,
12/01/16,836.51,858.5,1197.07,1227.48,98422.59,101182.81,820.24,842.5,1180.63,1212.23,96140.33,98911.75,827.77,849.96,1187.64,1220.06,97213.67,99909.37,
13/01/16,830.05,853.75,1186.25,1221.68,98111.91,101024.24,824.15,843.55,1171.88,1205.54,97084.87,99479.85,827.93,849.77,1179.03,1210.96,97737.35,100446.44,
14/01/16,839.53,866,1209.13,1244.77,98951.87,102378.52,834,856.2,1198.88,1232.3,97827.26,100549.92,837.01,860.17,1205.02,1239.11,98387.38,101237.89,
15/01/16,828.51,853.3,1193.52,1231.49,97706.18,100706.91,821.99,847.3,1175.68,1214.08,96912.95,99720.14,824.94,849.95,1184.7,1221.46,97215,100302.8,
16/01/16,,,,,,,,,,,,,,,,,,,
17/01/16,,,,,,,,,,,,,,,,,,,
18/01/16,822.67,843.5,1194.01,1231.03,96416.92,98972.25,812.5,836.5,1178.05,1212.67,95127.5,98037.8,817.67,840.26,1186.3,1219.84,95763.38,98529.48,
19/01/16,825.46,845.5,1193.72,1223.41,97263.95,99718.27,808.74,832.11,1175.32,1208.62,95010.78,97772.93,814.62,837.57,1182.9,1216.98,95766.22,98556.01,
20/01/16,818.7,843,1188.94,1223.95,96263.79,99115.98,806,830.34,1175.96,1212.18,93788.69,96535.33,813.52,838.17,1181.49,1217.97,95249.47,98218.64,
21/01/16,814.6,838.14,1176.75,1212.82,95495.56,98372.49,804.5,825.5,1165.27,1195.86,94005.83,96517.46,809.52,832.89,1171.17,1205.66,94681.71,97498.3,
22/01/16,816.81,839.81,1161.56,1195.96,96457.09,99282.34,805,829.11,1147.38,1184.44,94853.15,97785.23,810.64,834.96,1155.9,1191.37,95537.48,98559.3,
23/01/16,,,,,,,,,,,,,,,,,,,
24/01/16,,,,,,,,,,,,,,,,,,,
25/01/16,833.73,854.75,1191.89,1225.96,98797.01,101344.93,821,845,1170.56,1205.62,97370.6,100309.95,826.68,850.3,1180.98,1215.31,97988.37,100866.93,
26/01/16,,,,,,,,,,,,,,,,,,,
27/01/16,869.7,894,1240.83,1274.78,102746.69,105617.16,861.66,884.66,1224.3,1257.87,101874.06,104644.19,866.54,888.68,1233.3,1265.4,102415.83,105121.09,
28/01/16,873.2,897.2,1240.47,1275.99,103727.43,106632.22,864.12,887,1225.3,1258.69,102519.2,105331.25,867.9,892.22,1231.9,1267.11,102976.7,106001.68,
29/01/16,861.45,884.5,1210.78,1243.84,103873.64,106806.18,853.02,873.37,1200.59,1229.93,101375.74,104211.63,856.16,878.74,1204.85,1237.21,102801.84,105619.57,
30/01/16,,,,,,,,,,,,,,,,,,,
31/01/16,,,,,,,,,,,,,,,,,,,
01/02/16,863.02,885.58,1221.37,1253.54,104598.02,107465.13,856.58,880.1,1210.42,1243.61,103769.1,106738.53,860.83,882.8,1217.87,1249.59,104293.9,107127.29,
02/02/16,862.46,884.35,1212.68,1244.34,104133.42,107049.61,847.74,870.9,1195.35,1228.87,102237.44,105117.63,853.81,877.26,1205.41,1239.2,103044.09,105970.52,
03/02/16,851,875,1207.09,1241.84,101940.93,104942.23,839.24,865.75,1195.33,1232.53,100339.53,103630.28,846.25,869.47,1203.53,1237.21,101252.38,104171.06,
