DATE,Perth Mint Spot,Perth Mint Spot,PRICE,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Lease Rates
04/01/16,13.71,14.27,18.99,19.8,1644.5,1712.37,13.57,14.19,18.59,19.47,1627.69,1699.84,13.64,14.22,18.85,19.67,1632.39,1704.34,
05/01/16,13.74,14.29,19.07,19.85,1639.46,1707.94,13.62,14.17,18.96,19.74,1623.23,1692.04,13.69,14.25,19.02,19.81,1634.01,1703.53,
06/01/16,13.76,14.32,19.4,20.19,1633.6,1706.94,13.69,14.25,19.14,19.96,1618.57,1688.06,13.71,14.28,19.26,20.07,1626.28,1695.05,
07/01/16,13.9,14.46,19.74,20.55,1638.81,1706.42,13.71,14.27,19.42,20.23,1614.1,1681.5,13.8,14.36,19.57,20.38,1628.42,1696.92,
08/01/16,14.06,14.62,20.03,20.85,1653.07,1720.93,13.78,14.37,19.53,20.37,1631.77,1700.72,13.94,14.51,19.8,20.61,1644.9,1713.44,
09/01/16,,,,,,,,,,,,,,,,,,,
10/01/16,,,,,,,,,,,,,,,,,,,
11/01/16,13.79,14.36,19.84,20.67,1616.8,1684.03,13.69,14.28,19.61,20.41,1600.92,1673.22,13.73,14.31,19.7,20.54,1610.25,1679.03,
12/01/16,13.64,14.21,19.64,20.45,1603.44,1672.43,13.59,14.15,19.42,20.25,1593.29,1659.37,13.61,14.18,19.53,20.35,1598.41,1666.34,
13/01/16,13.58,14.14,19.4,20.22,1604.38,1673.19,13.5,14.09,19.19,20.01,1592.17,1661.26,13.55,14.12,19.29,20.12,1599.21,1668.6,
14/01/16,13.92,14.47,20.06,20.87,1636.04,1705.1,13.78,14.37,19.76,20.63,1622.74,1691.06,13.86,14.42,19.95,20.78,1628.68,1697.72,
15/01/16,13.62,14.18,19.65,20.47,1606.98,1674.19,13.58,14.15,19.43,20.23,1598.86,1667.1,13.6,14.16,19.53,20.35,1602.8,1670.93,
16/01/16,,,,,,,,,,,,,,,,,,,
17/01/16,,,,,,,,,,,,,,,,,,,
18/01/16,13.73,14.29,19.9,20.8,1607.78,1674.87,13.6,14.19,19.69,20.57,1590.52,1660.94,13.67,14.24,19.83,20.68,1600.69,1670.09,
19/01/16,13.87,14.47,20.06,20.94,1634.3,1706.59,13.65,14.22,19.82,20.64,1603.84,1670.74,13.7,14.27,19.89,20.73,1610.49,1678.54,
20/01/16,13.85,14.41,20.22,21.02,1619.98,1690.03,13.77,14.32,19.91,20.76,1604.21,1670.59,13.8,14.36,20.04,20.87,1615.21,1682.56,
21/01/16,13.93,14.51,20.2,21.05,1631.28,1697.75,13.83,14.4,19.94,20.75,1616.31,1683.65,13.9,14.46,20.11,20.93,1625.64,1692.68,
22/01/16,13.86,14.46,19.76,20.63,1636.73,1709.46,13.79,14.38,19.65,20.47,1623.63,1695.26,13.82,14.41,19.71,20.56,1629.09,1701.04,
23/01/16,,,,,,,,,,,,,,,,,,,
24/01/16,,,,,,,,,,,,,,,,,,,
25/01/16,13.87,14.46,19.89,20.69,1646.37,1713.65,13.79,14.36,19.67,20.5,1634.49,1704.24,13.84,14.41,19.77,20.59,1640.49,1708.86,
26/01/16,,,,,,,,,,,,,,,,,,,
27/01/16,14.27,14.82,20.36,21.18,1685.63,1754.54,14.14,14.69,20.09,20.9,1670.92,1737.98,14.22,14.78,20.23,21.04,1680.34,1747.76,
28/01/16,14.24,14.81,20.27,21.09,1687.39,1758.39,14.14,14.7,20,20.81,1676.58,1745.63,14.2,14.76,20.16,20.96,1684.97,1753.26,
29/01/16,14.02,14.58,19.76,20.59,1691.44,1761.96,13.95,14.51,19.59,20.43,1657.82,1728.25,13.99,14.56,19.69,20.49,1679.67,1749.46,
30/01/16,,,,,,,,,,,,,,,,,,,
31/01/16,,,,,,,,,,,,,,,,,,,
01/02/16,14.1,14.66,19.95,20.75,1708.07,1778.55,14,14.55,19.8,20.59,1696.38,1765.93,14.04,14.61,19.86,20.67,1701.02,1772.36,
02/02/16,14.11,14.68,19.86,20.7,1706.04,1776.39,13.97,14.57,19.77,20.62,1685.48,1758.02,14.04,14.61,19.83,20.64,1695,1765.39,
03/02/16,14.09,14.65,20.02,20.82,1684.03,1754.08,14.02,14.58,19.89,20.71,1676.23,1745.23,14.04,14.61,19.97,20.78,1680.36,1749.82,
04/02/16,14.48,15.04,20.15,20.96,1704.93,1775.23,14.37,14.97,20.03,20.86,1694.08,1764.94,14.42,14.99,20.09,20.9,1699.8,1769.35,
05/02/16,14.63,15.19,20.36,21.13,1707.32,1774.65,14.59,15.15,20.28,21.09,1702.51,1769.73,14.61,15.17,20.32,21.11,1705.37,1772.07,
06/02/16,,,,,,,,,,,,,,,,,,,
07/02/16,,,,,,,,,,,,,,,,,,,
08/02/16,14.74,15.29,20.76,21.58,1724.45,1790.82,14.65,15.2,20.62,21.43,1715.94,1784.89,14.68,15.24,20.69,21.49,1720.28,1787.02,
09/02/16,15.14,15.73,21.55,22.38,1743.75,1809.45,15.04,15.61,21.29,22.09,1729.27,1796.25,15.1,15.67,21.44,22.26,1737.7,1804.96,
10/02/16,15.01,15.58,21.32,22.11,1721.3,1793.98,14.86,15.42,20.86,21.66,1708.16,1773.76,14.97,15.53,21.17,21.98,1715.48,1782.47,
11/02/16,15.21,15.77,21.66,22.46,1711.74,1775.88,15.02,15.58,21.14,21.93,1693.03,1756.46,15.11,15.68,21.29,22.09,1701.47,1766.6,
12/02/16,15.5,16.09,21.84,22.63,1742.98,1810.61,15.38,15.95,21.62,22.4,1725.11,1793.91,15.42,15.99,21.71,22.52,1732.92,1798.88,
13/02/16,,,,,,,,,,,,,,,,,,,
14/02/16,,,,,,,,,,,,,,,,,,,
15/02/16,15.44,16,21.68,22.48,1750.53,1816.62,14.97,15.53,20.94,21.73,1704.48,1769.33,15.13,15.7,21.19,21.99,1719.77,1786.36,
16/02/16,15.1,15.66,21.08,21.87,1729.46,1796.62,14.89,15.47,20.75,21.56,1707.73,1776.79,14.98,15.55,20.91,21.71,1715.75,1783.21,
17/02/16,15.08,15.64,21.25,22.05,1714.14,1780.93,14.91,15.47,20.96,21.76,1702.3,1767.76,14.99,15.55,21.09,21.9,1707.61,1773.76,
18/02/16,15.05,15.61,21.05,21.85,1715.22,1782.25,14.95,15.54,20.87,21.72,1701.01,1767.36,15.01,15.58,20.98,21.78,1708.98,1776.08,
19/02/16,15.19,15.74,21.3,22.13,1718.15,1784.88,15.08,15.63,21.17,22,1701.63,1765.76,15.12,15.69,21.25,22.05,1707.61,1773.48,
20/02/16,,,,,,,,,,,,,,,,,,,
21/02/16,,,,,,,,,,,,,,,,,,,
22/02/16,15.08,15.64,21.12,21.91,1699.9,1765.49,14.75,15.3,20.5,21.3,1664.24,1732.19,14.94,15.5,20.82,21.61,1684.96,1750.4,
23/02/16,15.04,15.61,20.83,21.61,1689.14,1757.22,14.93,15.5,20.6,21.4,1673.95,1737.93,14.98,15.55,20.72,21.51,1681.58,1746.54,
24/02/16,15.1,15.65,20.98,21.75,1689.39,1753.11,14.97,15.52,20.79,21.57,1675.21,1739.39,15.03,15.58,20.9,21.68,1680.77,1745.34,
25/02/16,15.05,15.6,20.96,21.77,1686.37,1754.74,14.96,15.53,20.8,21.6,1675.74,1741.38,15,15.57,20.9,21.7,1682.32,1747.79,
26/02/16,14.94,15.5,20.63,21.43,1689.12,1755.07,14.78,15.34,20.47,21.26,1667.78,1733.68,14.88,15.44,20.57,21.35,1678.02,1743.45,
27/02/16,,,,,,,,,,,,,,,,,,,
28/02/16,,,,,,,,,,,,,,,,,,,
29/02/16,14.51,15.1,20.34,21.16,1645.29,1710.21,14.42,14.98,20.2,21,1625.86,1695.08,14.46,15.03,20.28,21.08,1637.03,1703.35,
01/03/16,14.7,15.25,20.65,21.43,1658.09,1722.08,14.6,15.16,20.35,21.14,1644.02,1710.33,14.66,15.22,20.54,21.33,1649.42,1714.14,
02/03/16,14.58,15.18,20.26,21.09,1666.35,1735.83,14.53,15.09,20.1,20.88,1655.4,1721.25,14.55,15.11,20.15,20.93,1659.15,1725.22,
03/03/16,14.7,15.27,20.16,20.93,1675.87,1740.71,14.65,15.2,20.03,20.78,1663.51,1732.1,14.68,15.24,20.09,20.87,1670.58,1736.96,
04/03/16,15.21,15.82,20.62,21.46,1729.22,1800,14.89,15.46,20.26,21.04,1689.72,1755.17,15.02,15.59,20.4,21.18,1705.83,1772.38,
05/03/16,,,,,,,,,,,,,,,,,,,
06/03/16,,,,,,,,,,,,,,,,,,,
07/03/16,,,,,,,,,,,,,,,,,,,
08/03/16,15.44,16.01,20.79,21.57,1743.02,1809.13,15.26,15.83,20.57,21.34,1724.25,1790.42,15.34,15.91,20.65,21.43,1732.07,1798.38,
09/03/16,15.11,15.71,20.32,21.14,1700.33,1770.83,14.97,15.55,20.16,20.93,1685.17,1752.8,15.05,15.63,20.23,21.03,1692.59,1760.58,
10/03/16,15.07,15.63,20.12,20.92,1709.09,1775.55,14.96,15.52,20,20.75,1697.66,1763.38,15,15.57,20.06,20.83,1703.18,1769.76,
11/03/16,15.47,16.03,20.7,21.45,1751.07,1814.77,15.27,15.82,20.39,21.14,1729.68,1792.38,15.36,15.92,20.53,21.28,1740.96,1805.55,
12/03/16,,,,,,,,,,,,,,,,,,,
13/03/16,,,,,,,,,,,,,,,,,,,
14/03/16,15.39,15.94,20.45,21.19,1749.23,1814.08,15.25,15.8,20.11,20.88,1734.38,1799.49,15.3,15.86,20.21,20.97,1740.28,1807.29,
15/03/16,15.13,15.68,20.25,20.99,1721.26,1787.16,15.01,15.56,20.03,20.77,1701.48,1766.97,15.06,15.62,20.1,20.86,1709.74,1775.89,
16/03/16,15.05,15.61,20.17,20.93,1706.37,1772.54,14.98,15.54,20.04,20.84,1696.43,1761.24,15.01,15.58,20.12,20.89,1701.94,1767.32,
17/03/16,15.4,15.96,20.37,21.11,1738.04,1804.26,15.3,15.86,20.09,20.83,1712.21,1776.97,15.34,15.91,20.22,20.98,1726.28,1792.69,
18/03/16,15.86,16.42,20.72,21.46,1763.78,1828.86,15.67,16.23,20.47,21.21,1744.09,1809.46,15.78,16.34,20.62,21.36,1754.07,1818.4,
19/03/16,,,,,,,,,,,,,,,,,,,
20/03/16,,,,,,,,,,,,,,,,,,,
21/03/16,15.58,16.15,20.53,21.28,1735.61,1798.66,15.47,16.02,20.33,21.05,1722.89,1785.27,15.52,16.09,20.44,21.2,1727.98,1792.74,
22/03/16,15.73,16.32,20.74,21.55,1757.3,1823.6,15.53,16.12,20.48,21.27,1739.52,1807.21,15.64,16.21,20.61,21.38,1748.79,1814.17,
23/03/16,15.62,16.18,20.5,21.25,1751.63,1816.53,15.4,15.95,20.23,20.97,1730.08,1794.85,15.51,16.06,20.33,21.08,1740.88,1805.14,
24/03/16,15.04,15.61,20.04,20.81,1695.23,1761.59,14.94,15.49,19.91,20.68,1684.27,1747.89,15,15.57,19.98,20.75,1689.98,1755.31,
25/03/16,,,,,,,,,,,,,,,,,,,
26/03/16,,,,,,,,,,,,,,,,,,,
27/03/16,,,,,,,,,,,,,,,,,,,
28/03/16,,,,,,,,,,,,,,,,,,,
29/03/16,14.99,15.55,19.85,20.6,1700.32,1765.08,14.82,15.41,19.7,20.49,1683.7,1751.65,14.91,15.47,19.77,20.53,1692.96,1758.47,
30/03/16,15.16,15.75,19.8,20.55,1700.76,1766.32,15.05,15.61,19.7,20.46,1692.82,1757.37,15.11,15.67,19.76,20.5,1697.28,1762.02,
31/03/16,15.11,15.69,19.69,20.46,1696.4,1762.93,14.96,15.51,19.55,20.28,1680.08,1742.74,15.01,15.58,19.61,20.35,1686.92,1751.09,
01/04/16,15.19,15.78,19.8,20.57,1706.75,1774.62,15.1,15.68,19.68,20.45,1694.98,1760.86,15.15,15.72,19.74,20.5,1700.24,1766.65,
02/04/16,,,,,,,,,,,,,,,,,,,
03/04/16,,,,,,,,,,,,,,,,,,,
04/04/16,14.81,15.37,19.4,20.14,1650.87,1714.06,14.7,15.26,19.27,20.02,1638.46,1700.42,14.75,15.31,19.32,20.06,1644.33,1707.72,
05/04/16,14.91,15.47,19.74,20.52,1646.66,1711.45,14.73,15.29,19.41,20.15,1634.74,1697.65,14.82,15.38,19.54,20.29,1640.79,1704.09,
06/04/16,14.89,15.45,19.74,20.48,1644.9,1707.84,14.78,15.36,19.55,20.33,1631.27,1695.59,14.86,15.41,19.67,20.42,1639.65,1702.46,
07/04/16,14.94,15.5,19.71,20.46,1630.85,1692.19,14.81,15.38,19.43,20.22,1613.94,1675.07,14.85,15.42,19.54,20.29,1621.56,1684.47,
08/04/16,14.97,15.56,19.91,20.66,1630.08,1694.48,14.88,15.44,19.74,20.49,1617.75,1680.18,14.95,15.51,19.84,20.59,1624.86,1687.2,
09/04/16,,,,,,,,,,,,,,,,,,,
10/04/16,,,,,,,,,,,,,,,,,,,
11/04/16,15.25,15.85,20.22,21.01,1648.51,1714.1,15.14,15.69,20.01,20.75,1634.84,1698.64,15.21,15.77,20.14,20.9,1641.37,1704.78,
12/04/16,15.77,16.33,20.6,21.34,1706.81,1768.7,15.56,16.11,20.39,21.13,1680.01,1741.01,15.65,16.21,20.51,21.25,1692.38,1755.13,
13/04/16,15.91,16.47,20.69,21.43,1727.74,1791.3,15.76,16.34,20.55,21.28,1717.16,1781.33,15.84,16.4,20.61,21.36,1723.6,1786.98,
14/04/16,15.96,16.51,20.82,21.55,1740.44,1802.07,15.77,16.34,20.57,21.35,1723,1787.6,15.84,16.41,20.7,21.45,1731.89,1795.3,
15/04/16,15.97,16.54,20.71,21.45,1746.55,1810.05,15.83,16.41,20.56,21.29,1735.44,1800.45,15.91,16.47,20.64,21.38,1742.06,1805.15,
16/04/16,,,,,,,,,,,,,,,,,,,
17/04/16,,,,,,,,,,,,,,,,,,,
18/04/16,16.01,16.56,20.96,21.69,1729.56,1791.46,15.87,16.44,20.65,21.44,1712.06,1775.19,15.93,16.5,20.77,21.53,1720.36,1784.29,
19/04/16,16.4,16.96,21.09,21.82,1788.42,1852.03,15.92,16.48,20.48,21.2,1736.71,1799.12,16.06,16.62,20.64,21.37,1750.33,1813.28,
20/04/16,16.89,17.46,21.71,22.44,1841.35,1905.76,16.6,17.18,21.29,22.05,1804.92,1870.39,16.75,17.31,21.49,22.23,1823.8,1887.22,
21/04/16,17.25,17.81,22.09,22.82,1890.77,1953.04,16.66,17.25,21.37,22.14,1827.77,1894.05,17,17.57,21.78,22.51,1864.88,1928.1,
22/04/16,16.92,17.49,21.84,22.59,1866.28,1930.55,16.71,17.27,21.52,22.27,1826.57,1890.89,16.81,17.38,21.68,22.43,1845.77,1909.8,
23/04/16,,,,,,,,,,,,,,,,,,,
24/04/16,,,,,,,,,,,,,,,,,,,
25/04/16,,,,,,,,,,,,,,,,,,,
