DATE,PRICE,Open,High,Low,Vol.,Change %
"May 10, 2020",5492.8,5488,5587.4,5394.6,1.07B,0.09%
"May 03, 2020",5488,5325,5521.2,5246.4,5.63B,3.06%
"Apr 26, 2020",5325,5300.7,5623,5283.3,6.37B,0.46%
"Apr 19, 2020",5300.7,5543.2,5550,5156,6.02B,-4.40%
"Apr 12, 2020",5544.7,5439.4,5618.1,5400.3,6.37B,1.94%
"Apr 05, 2020",5439.4,5106.9,5464.2,5106.9,5.67B,6.51%
"Mar 29, 2020",5106.9,4874.1,5385.3,4862.2,7.74B,4.77%
"Mar 22, 2020",4874.2,4854.3,5261.4,4429.1,9.41B,0.41%
"Mar 15, 2020",4854.3,5590.7,5590.7,4768.7,12.13B,-13.17%
"Mar 08, 2020",5590.7,6287.3,6287.3,4940.1,11.88B,-11.08%
"Mar 01, 2020",6287.5,6501.3,6598.8,6287.5,6.91B,-3.44%
"Feb 23, 2020",6511.5,7230.4,7230.4,6498.8,7.98B,-9.94%
"Feb 16, 2020",7230.4,7227.1,7289.7,7192.5,5.33B,0.05%
"Feb 09, 2020",7227.1,7121.4,7244.1,7079.2,4.57B,1.48%
"Feb 02, 2020",7121.4,7121.2,7150.6,6995,4.57B,0.00%
"Jan 26, 2020",7121.2,7166.3,7203.2,7072.3,3.49B,-1.14%
"Jan 19, 2020",7203.2,7180.3,7260,7156.5,3.55B,0.32%
"Jan 12, 2020",7180.3,7041.9,7205.5,6994.5,3.54B,1.97%
"Jan 05, 2020",7041.9,6855.2,7046.2,6796.2,3.39B,2.72%
"Dec 29, 2019",6855.2,6936.3,6938.5,6789.4,1.80B,-1.17%
"Dec 22, 2019",6936.3,6924.4,6936.5,6886.8,1.32B,0.17%
"Dec 15, 2019",6924.4,6846.4,6980.2,6846.4,5.21B,1.17%
"Dec 08, 2019",6844.6,6813.5,6855.2,6803.4,3.90B,0.46%
"Dec 01, 2019",6813.5,6948,6990.4,6700.2,4.06B,-1.94%
"Nov 24, 2019",6948,6818.9,6996,6818.9,4.32B,1.93%
"Nov 17, 2019",6816.5,6898.9,6914.1,6743.8,3.82B,-1.19%
"Nov 10, 2019",6898.9,6833.2,6901.6,6797.7,4.54B,0.96%
"Nov 03, 2019",6833.2,6779.1,6851.7,6772,4.52B,0.80%
"Oct 27, 2019",6779.1,6841.2,6867.5,6745.6,4.31B,-0.90%
"Oct 20, 2019",6841,6758.4,6843.5,6721.8,4.10B,1.22%
