DATE,PRICE,Open,High,Low,Vol.,Change %
"May 10, 2020",23685.42,24256.45,24380.91,22789.62,495.18M,-2.65%
"May 03, 2020",24331.32,23581.55,24349.9,23361.16,1.82B,2.56%
"Apr 26, 2020",23723.69,23866.15,24764.77,23645.3,2.17B,-0.22%
"Apr 19, 2020",23775.27,24095.1,24108.69,22941.88,2.04B,-1.93%
"Apr 12, 2020",24242.49,23698.93,24264.21,23095.35,2.34B,2.21%
"Apr 05, 2020",23719.37,21693.63,24008.99,21693.63,2.25B,12.67%
"Mar 29, 2020",21052.53,21678.22,22480.37,20735.02,2.62B,-2.70%
"Mar 22, 2020",21636.78,19028.36,22595.06,18213.65,3.72B,12.84%
"Mar 15, 2020",19173.98,20917.53,21768.28,18917.46,4.11B,-17.30%
"Mar 08, 2020",23185.62,24992.36,25020.99,21154.46,3.82B,-10.36%
"Mar 01, 2020",25864.78,25590.51,27102.34,25226.62,2.82B,1.79%
"Feb 23, 2020",25409.36,28402.93,28402.93,24681.01,3.04B,-12.36%
"Feb 16, 2020",28992.41,29282.78,29409.09,28892.7,1.11B,-1.38%
"Feb 09, 2020",29398.08,28995.66,29568.57,28995.66,1.38B,1.02%
"Feb 02, 2020",29102.51,28319.65,29408.05,28319.65,1.52B,3.00%
"Jan 26, 2020",28256.03,28542.49,28944.24,28169.53,1.73B,-2.53%
"Jan 19, 2020",28989.73,29269.05,29341.21,28843.31,1.29B,-1.22%
"Jan 12, 2020",29348.1,28869.01,29373.62,28819.43,1.41B,1.82%
"Jan 05, 2020",28823.77,28465.5,29009.07,28418.63,1.35B,0.66%
"Dec 29, 2019",28634.88,28654.76,28872.8,28376.49,872.30M,-0.04%
"Dec 22, 2019",28645.26,28491.78,28701.66,28491.78,669.66M,0.67%
"Dec 15, 2019",28455.09,28191.67,28608.64,28191.67,1.73B,1.14%
"Dec 08, 2019",28135.38,27987.05,28290.73,27801.8,1.19B,0.43%
"Dec 01, 2019",28015.06,28109.74,28109.84,27325.13,1.17B,-0.13%
"Nov 24, 2019",28051.41,27917.77,28174.97,27917.77,899.05M,0.63%
"Nov 17, 2019",27875.62,27993.22,28090.21,27675.28,1.22B,-0.46%
"Nov 10, 2019",28004.89,27580.66,28004.89,27517.67,1.29B,1.17%
"Nov 03, 2019",27681.24,27402.06,27774.67,27402.06,1.30B,1.22%
"Oct 27, 2019",27347.36,27040.33,27347.43,26918.29,1.34B,1.44%
"Oct 20, 2019",26958.06,26852.67,27015.37,26714.34,1.29B,0.70%
"Oct 13, 2019",26770.2,26766.43,27120.11,26749.18,1.16B,-0.17%
"Oct 06, 2019",26816.59,26502.33,27013.97,26139.8,1.14B,0.91%
"Sep 29, 2019",26573.72,26852.33,27046.21,25743.46,1.29B,-0.92%
"Sep 22, 2019",26820.25,26851.45,27079.68,26704.96,1.21B,-0.43%
"Sep 15, 2019",26935.07,27146.06,27272.17,26899.15,1.39B,-1.05%
"Sep 08, 2019",27219.52,26866.23,27306.73,26717.05,1.38B,1.57%
"Sep 01, 2019",26797.46,26198.26,26860.87,25978.22,892.30M,1.49%
"Aug 25, 2019",26403.28,25826.05,26514.62,25637.43,1.12B,3.02%
"Aug 18, 2019",25628.9,26020.06,26388.78,25507.18,1.29B,-0.99%
"Aug 11, 2019",25886.01,26169.91,26426.97,25339.6,1.48B,-1.53%
"Aug 04, 2019",26287.44,26259.23,26413.36,25440.39,1.62B,-0.75%
"Jul 28, 2019",26485.01,27192.24,27281.65,26249.22,1.67B,-2.60%
"Jul 21, 2019",27192.45,27174.18,27368.81,27062.48,1.21B,0.14%
