DATE,ONES
 22 January 1970,1
 21 February 1970,1
 23 March 1970,1
 21 April 1970,1
 21 May 1970,1
 19 June 1970,1
 18 July 1970,1
 17 August 1970,1
 15 September 1970,1
 14 October 1970,1
 13 November 1970,1
 12 December 1970,1
 11 January 1971,1
 10 February 1971,1
 12 March 1971,1
 10 April 1971,1
 10 May 1971,1
 9 June 1971,1
 8 July 1971,1
 6 August 1971,1
 5 September 1971,1
 4 October 1971,1
 2 November 1971,1
 2 December 1971,1
 31 December 1971,1
 30 January 1972,1
 29 February 1972,1
 29 March 1972,1
 28 April 1972,1
 28 May 1972,1
 26 June 1972,1
 26 July 1972,1
 24 August 1972,1
 23 September 1972,1
 22 October 1972,1
 21 November 1972,1
 20 December 1972,1
 18 January 1973,1
 17 February 1973,1
 19 March 1973,1
 17 April 1973,1
 17 May 1973,1
 15 June 1973,1
 15 July 1973,1
 14 August 1973,1
 12 September 1973,1
 12 October 1973,1
 10 November 1973,1
 10 December 1973,1
 8 January 1974,1
 7 February 1974,1
 8 March 1974,1
 6 April 1974,1
 6 May 1974,1
 4 June 1974,1
 4 July 1974,1
 3 August 1974,1
 1 September 1974,1
 1 October 1974,1
 31 October 1974,1
 29 November 1974,1
 29 December 1974,1
 27 January 1975,1
 26 February 1975,1
 27 March 1975,1
 25 April 1975,1
 25 May 1975,1
 23 June 1975,1
 23 July 1975,1
 21 August 1975,1
 20 September 1975,1
 20 October 1975,1
 18 November 1975,1
 18 December 1975,1
 17 January 1976,1
 15 February 1976,1
 16 March 1976,1
 14 April 1976,1
 13 May 1976,1
 12 June 1976,1
 11 July 1976,1
 10 August 1976,1
 8 September 1976,1
 8 October 1976,1
 7 November 1976,1
 6 December 1976,1
 5 January 1977,1
 4 February 1977,1
 5 March 1977,1
 4 April 1977,1
 3 May 1977,1
 1 June 1977,1
 1 July 1977,1
 30 July 1977,1
 28 August 1977,1
 27 September 1977,1
 27 October 1977,1
 25 November 1977,1
 25 December 1977,1
 24 January 1978,1
 23 February 1978,1
 24 March 1978,1
 23 April 1978,1
 22 May 1978,1
 20 June 1978,1
 20 July 1978,1
 18 August 1978,1
 16 September 1978,1
 16 October 1978,1
 14 November 1978,1
 14 December 1978,1
 13 January 1979,1
 12 February 1979,1
 13 March 1979,1
 12 April 1979,1
 12 May 1979,1
 10 June 1979,1
 9 July 1979,1
 8 August 1979,1
 6 September 1979,1
 5 October 1979,1
 4 November 1979,1
 3 December 1979,1
 2 January 1980,1
 1 February 1980,1
 1 March 1980,1
 31 March 1980,1
 30 April 1980,1
 29 May 1980,1
 28 June 1980,1
 27 July 1980,1
 26 August 1980,1
 24 September 1980,1
 23 October 1980,1
 22 November 1980,1
 21 December 1980,1
 20 January 1981,1
 18 February 1981,1
 20 March 1981,1
 19 April 1981,1
 19 May 1981,1
 17 June 1981,1
 17 July 1981,1
 15 August 1981,1
 14 September 1981,1
 13 October 1981,1
 11 November 1981,1
 11 December 1981,1
 9 January 1982,1
 8 February 1982,1
 9 March 1982,1
 8 April 1982,1
 8 May 1982,1
 6 June 1982,1
 6 July 1982,1
 5 August 1982,1
 3 September 1982,1
 3 October 1982,1
 1 November 1982,1
 1 December 1982,1
 30 December 1982,1
 28 January 1983,1
 27 February 1983,1
 28 March 1983,1
 27 April 1983,1
 26 May 1983,1
 25 June 1983,1
 25 July 1983,1
 23 August 1983,1
 22 September 1983,1
 21 October 1983,1
 20 November 1983,1
 20 December 1983,1
 18 January 1984,1
 17 February 1984,1
 17 March 1984,1
 15 April 1984,1
 15 May 1984,1
 13 June 1984,1
 13 July 1984,1
 11 August 1984,1
 10 September 1984,1
 10 October 1984,1
 8 November 1984,1
 8 December 1984,1
 7 January 1985,1
 5 February 1985,1
 7 March 1985,1
 5 April 1985,1
 4 May 1985,1
 3 June 1985,1
 2 July 1985,1
 31 July 1985,1
 30 August 1985,1
 29 September 1985,1
 28 October 1985,1
 27 November 1985,1
 27 December 1985,1
 26 January 1986,1
 24 February 1986,1
 26 March 1986,1
 24 April 1986,1
 23 May 1986,1
 22 June 1986,1
 21 July 1986,1
 19 August 1986,1
 18 September 1986,1
 17 October 1986,1
 16 November 1986,1
 16 December 1986,1
 15 January 1987,1
 13 February 1987,1
 15 March 1987,1
 14 April 1987,1
 13 May 1987,1
 11 June 1987,1
 11 July 1987,1
 9 August 1987,1
 7 September 1987,1
