DATE,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,PRICE_USD,Perth Mint Spot,PRICE_AUD,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Lease Rates,,,,
2/01/75,,,3.18,3.74,,,,,3.18,3.74,,,,,3.18,3.74,,,,,,,
3/01/75,,,3.1,3.65,,,,,3.1,3.65,,,,,3.1,3.65,,,,,,,
4/01/75,,,,,,,,,,,,,,,,,,,,,,,
5/01/75,,,,,,,,,,,,,,,,,,,,,,,
6/01/75,,,3.01,3.55,,,,,3.01,3.55,,,,,3.01,3.55,,,,,,,
7/01/75,,,3.04,3.58,,,,,3.04,3.58,,,,,3.04,3.58,,,,,,,
8/01/75,,,3.01,3.54,,,,,3.01,3.54,,,,,3.01,3.54,,,,,,,
9/01/75,,,3.01,3.54,,,,,3.01,3.54,,,,,3.01,3.54,,,,,,,
10/01/75,,,2.98,3.51,,,,,2.98,3.51,,,,,2.98,3.51,,,,,,,
11/01/75,,,,,,,,,,,,,,,,,,,,,,,
12/01/75,,,,,,,,,,,,,,,,,,,,,,,
13/01/75,,,3.14,3.7,,,,,3.14,3.7,,,,,3.14,3.7,,,,,,,
14/01/75,,,3.06,3.6,,,,,3.06,3.6,,,,,3.06,3.6,,,,,,,
15/01/75,,,3.17,3.73,,,,,3.17,3.73,,,,,3.17,3.73,,,,,,,
16/01/75,,,3.06,3.6,,,,,3.06,3.6,,,,,3.06,3.6,,,,,,,
17/01/75,,,2.95,3.48,,,,,2.95,3.48,,,,,2.95,3.48,,,,,,,
18/01/75,,,,,,,,,,,,,,,,,,,,,,,
19/01/75,,,,,,,,,,,,,,,,,,,,,,,
20/01/75,,,2.82,3.33,,,,,2.82,3.33,,,,,2.82,3.33,,,,,,,
21/01/75,,,2.88,3.4,,,,,2.88,3.4,,,,,2.88,3.4,,,,,,,
22/01/75,,,2.83,3.34,,,,,2.83,3.34,,,,,2.83,3.34,,,,,,,
23/01/75,,,2.82,3.32,,,,,2.82,3.32,,,,,2.82,3.32,,,,,,,
24/01/75,,,3.01,3.55,,,,,3.01,3.55,,,,,3.01,3.55,,,,,,,
25/01/75,,,,,,,,,,,,,,,,,,,,,,,
26/01/75,,,,,,,,,,,,,,,,,,,,,,,
27/01/75,,,,,,,,,,,,,,,,,,,,,,,
28/01/75,,,2.94,3.47,,,,,2.94,3.47,,,,,2.94,3.47,,,,,,,
29/01/75,,,2.99,3.52,,,,,2.99,3.52,,,,,2.99,3.52,,,,,,,
30/01/75,,,3.04,3.58,,,,,3.04,3.58,,,,,3.04,3.58,,,,,,,
31/01/75,,,2.94,3.46,,,,,2.94,3.46,,,,,2.94,3.46,,,,,,,
1/02/75,,,,,,,,,,,,,,,,,,,,,,,
2/02/75,,,,,,,,,,,,,,,,,,,,,,,
3/02/75,,,2.91,3.43,,,,,2.91,3.43,,,,,2.91,3.43,,,,,,,
4/02/75,,,2.91,3.43,,,,,2.91,3.43,,,,,2.91,3.43,,,,,,,
5/02/75,,,2.93,3.45,,,,,2.93,3.45,,,,,2.93,3.45,,,,,,,
6/02/75,,,2.91,3.43,,,,,2.91,3.43,,,,,2.91,3.43,,,,,,,
7/02/75,,,3.01,3.54,,,,,3.01,3.54,,,,,3.01,3.54,,,,,,,
8/02/75,,,,,,,,,,,,,,,,,,,,,,,
9/02/75,,,,,,,,,,,,,,,,,,,,,,,
10/02/75,,,3.03,3.57,,,,,3.03,3.57,,,,,3.03,3.57,,,,,,,
11/02/75,,,3.01,3.55,,,,,3.01,3.55,,,,,3.01,3.55,,,,,,,
12/02/75,,,3.07,3.61,,,,,3.07,3.61,,,,,3.07,3.61,,,,,,,
13/02/75,,,3.11,3.66,,,,,3.11,3.66,,,,,3.11,3.66,,,,,,,
14/02/75,,,3.2,3.76,,,,,3.2,3.76,,,,,3.2,3.76,,,,,,,
15/02/75,,,,,,,,,,,,,,,,,,,,,,,
16/02/75,,,,,,,,,,,,,,,,,,,,,,,
17/02/75,,,3.13,3.69,,,,,3.13,3.69,,,,,3.13,3.69,,,,,,,
18/02/75,,,3.07,3.62,,,,,3.07,3.62,,,,,3.07,3.62,,,,,,,
19/02/75,,,3.23,3.8,,,,,3.23,3.8,,,,,3.23,3.8,,,,,,,
20/02/75,,,3.18,3.74,,,,,3.18,3.74,,,,,3.18,3.74,,,,,,,
21/02/75,,,3.26,3.84,,,,,3.26,3.84,,,,,3.26,3.84,,,,,,,
22/02/75,,,,,,,,,,,,,,,,,,,,,,,
23/02/75,,,,,,,,,,,,,,,,,,,,,,,
24/02/75,,,3.19,3.75,,,,,3.19,3.75,,,,,3.19,3.75,,,,,,,
25/02/75,,,3.2,3.76,,,,,3.2,3.76,,,,,3.2,3.76,,,,,,,
26/02/75,,,3.11,3.66,,,,,3.11,3.66,,,,,3.11,3.66,,,,,,,
27/02/75,,,3.1,3.65,,,,,3.1,3.65,,,,,3.1,3.65,,,,,,,
28/02/75,,,3.07,3.61,,,,,3.07,3.61,,,,,3.07,3.61,,,,,,,
1/03/75,,,,,,,,,,,,,,,,,,,,,,,
2/03/75,,,,,,,,,,,,,,,,,,,,,,,
3/03/75,,,3.11,3.66,,,,,3.11,3.66,,,,,3.11,3.66,,,,,,,
4/03/75,,,3.11,3.66,,,,,3.11,3.66,,,,,3.11,3.66,,,,,,,
5/03/75,,,3.01,3.54,,,,,3.01,3.54,,,,,3.01,3.54,,,,,,,
6/03/75,,,3.02,3.56,,,,,3.02,3.56,,,,,3.02,3.56,,,,,,,
7/03/75,,,3.01,3.54,,,,,3.01,3.54,,,,,3.01,3.54,,,,,,,
8/03/75,,,,,,,,,,,,,,,,,,,,,,,
9/03/75,,,,,,,,,,,,,,,,,,,,,,,
10/03/75,,,2.99,3.52,,,,,2.99,3.52,,,,,2.99,3.52,,,,,,,
11/03/75,,,3.07,3.62,,,,,3.07,3.62,,,,,3.07,3.62,,,,,,,
12/03/75,,,3.08,3.63,,,,,3.08,3.63,,,,,3.08,3.63,,,,,,,
13/03/75,,,3.11,3.66,,,,,3.11,3.66,,,,,3.11,3.66,,,,,,,
14/03/75,,,3.13,3.69,,,,,3.13,3.69,,,,,3.13,3.69,,,,,,,
15/03/75,,,,,,,,,,,,,,,,,,,,,,,
16/03/75,,,,,,,,,,,,,,,,,,,,,,,
17/03/75,,,3.07,3.62,,,,,3.07,3.62,,,,,3.07,3.62,,,,,,,
18/03/75,,,3.11,3.66,,,,,3.11,3.66,,,,,3.11,3.66,,,,,,,
19/03/75,,,2.98,3.51,,,,,2.98,3.51,,,,,2.98,3.51,,,,,,,
20/03/75,,,3.08,3.62,,,,,3.08,3.62,,,,,3.08,3.62,,,,,,,
